,mid,movie_title,genres,rating
0,1,Toy Story (1995),Animation|Children's|Comedy,4.146846413095811
1,2,Jumanji (1995),Adventure|Children's|Fantasy,3.20114122681883
2,3,Grumpier Old Men (1995),Comedy|Romance,3.01673640167364
3,4,Waiting to Exhale (1995),Comedy|Drama,2.7294117647058824
4,5,Father of the Bride Part II (1995),Comedy,3.0067567567567566
5,6,Heat (1995),Action|Crime|Thriller,3.8787234042553194
6,7,Sabrina (1995),Comedy|Romance,3.410480349344978
7,8,Tom and Huck (1995),Adventure|Children's,3.014705882352941
8,9,Sudden Death (1995),Action,2.656862745098039
9,10,GoldenEye (1995),Action|Adventure|Thriller,3.5405405405405403
10,11,"American President, The (1995)",Comedy|Drama|Romance,3.7938044530493706
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.3625
12,13,Balto (1995),Animation|Children's,3.2626262626262625
13,14,Nixon (1995),Drama,3.542483660130719
14,15,Cutthroat Island (1995),Action|Adventure|Romance,2.458904109589041
15,16,Casino (1995),Drama|Thriller,3.7932551319648096
16,17,Sense and Sensibility (1995),Drama|Romance,4.027544910179641
17,18,Four Rooms (1995),Thriller,3.337579617834395
18,19,Ace Ventura: When Nature Calls (1995),Comedy,2.480719794344473
19,20,Money Train (1995),Action,2.5375
20,21,Get Shorty (1995),Action|Comedy|Drama,3.6238938053097347
21,22,Copycat (1995),Crime|Drama|Thriller,3.3492063492063493
22,23,Assassins (1995),Thriller,2.857142857142857
23,24,Powder (1995),Drama|Sci-Fi,3.1794871794871793
24,25,Leaving Las Vegas (1995),Drama|Romance,3.6510204081632653
25,26,Othello (1995),Drama,3.53
26,27,Now and Then (1995),Drama,2.9344262295081966
27,28,Persuasion (1995),Romance,4.055865921787709
28,29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,4.062034739454094
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,3.6486486486486487
30,31,Dangerous Minds (1995),Drama,3.1134751773049647
31,32,Twelve Monkeys (1995),Drama|Sci-Fi,3.945731303772336
32,33,Wings of Courage (1995),Adventure|Romance,3.0
33,34,Babe (1995),Children's|Comedy|Drama,3.8914905768132497
34,35,Carrington (1995),Drama|Romance,3.3142857142857145
35,36,Dead Man Walking (1995),Drama,3.9579741379310347
36,37,Across the Sea of Time (1995),Documentary,3.5
37,38,It Takes Two (1995),Comedy,2.8214285714285716
38,39,Clueless (1995),Comedy|Romance,3.6233480176211454
39,40,"Cry, the Beloved Country (1995)",Drama,3.933333333333333
40,41,Richard III (1995),Drama|War,3.958677685950413
41,42,Dead Presidents (1995),Action|Crime|Drama,2.8687782805429864
42,43,Restoration (1995),Drama,3.4457831325301207
43,44,Mortal Kombat (1995),Action|Adventure,2.787781350482315
44,45,To Die For (1995),Comedy|Drama,3.4246323529411766
45,46,How to Make an American Quilt (1995),Drama|Romance,3.108433734939759
46,47,Seven (Se7en) (1995),Crime|Thriller,4.106420404573439
47,48,Pocahontas (1995),Animation|Children's|Musical|Romance,2.9764397905759163
48,49,When Night Is Falling (1995),Drama|Romance,3.740740740740741
49,50,"Usual Suspects, The (1995)",Crime|Thriller,4.517106001121705
51,52,Mighty Aphrodite (1995),Comedy,3.640371229698376
52,53,Lamerica (1994),Drama,4.75
53,54,"Big Green, The (1995)",Children's|Comedy,2.5609756097560976
54,55,Georgia (1995),Drama,3.066666666666667
55,56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,2.0
56,57,Home for the Holidays (1995),Drama,3.404040404040404
57,58,"Postino, Il (The Postman) (1994)",Drama|Romance,4.093812375249501
58,59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,2.75
59,60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,3.212885154061625
60,61,Eye for an Eye (1996),Drama|Thriller,3.0
61,62,Mr. Holland's Opus (1995),Drama,3.6968576709796674
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,2.855855855855856
63,64,Two if by Sea (1996),Comedy|Romance,2.2658227848101267
64,65,Bio-Dome (1996),Comedy,2.062937062937063
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,1.6701030927835052
66,67,Two Bits (1995),Drama,3.25
67,68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.45
68,69,Friday (1995),Comedy,3.6551724137931036
69,70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,3.1564551422319473
70,71,Fair Game (1995),Action,2.1041666666666665
71,72,Kicking and Screaming (1995),Comedy|Drama,3.6344086021505375
72,73,"Mis�rables, Les (1995)",Drama|Musical,3.8169642857142856
73,74,Bed of Roses (1996),Drama|Romance,2.975
74,75,Big Bully (1996),Comedy|Drama,1.9166666666666667
75,76,Screamers (1995),Sci-Fi|Thriller,2.853932584269663
76,77,Nico Icon (1995),Documentary,3.764705882352941
77,78,"Crossing Guard, The (1995)",Drama,3.26
78,79,"Juror, The (1996)",Drama|Thriller,2.6052631578947367
79,80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,3.826923076923077
80,81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,3.1626506024096384
81,82,Antonia's Line (Antonia) (1995),Drama,3.8764044943820224
82,83,Once Upon a Time... When We Were Colored (1995),Drama,3.696969696969697
83,84,Last Summer in the Hamptons (1995),Comedy|Drama,3.0952380952380953
84,85,Angels and Insects (1995),Drama|Romance,3.402061855670103
85,86,White Squall (1996),Adventure|Drama,3.3940677966101696
86,87,Dunston Checks In (1996),Children's|Comedy,2.210526315789474
87,88,Black Sheep (1996),Comedy,2.9427083333333335
88,89,Nick of Time (1995),Action|Thriller,3.074235807860262
89,90,"Journey of August King, The (1995)",Drama,3.6666666666666665
90,92,Mary Reilly (1996),Drama|Thriller,2.340909090909091
91,93,Vampire in Brooklyn (1995),Comedy|Romance,2.235955056179775
92,94,Beautiful Girls (1996),Drama,3.7252747252747254
93,95,Broken Arrow (1996),Action|Thriller,2.876175548589342
94,96,In the Bleak Midwinter (1995),Comedy,3.923076923076923
95,97,"Hate (Haine, La) (1995)",Drama,3.75
96,98,Shopping (1994),Action|Thriller,2.0
97,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,3.46
98,100,City Hall (1996),Drama|Thriller,3.0625
99,101,Bottle Rocket (1996),Comedy,3.869565217391304
100,102,Mr. Wrong (1996),Comedy,1.8166666666666667
101,103,Unforgettable (1996),Thriller,3.212121212121212
102,104,Happy Gilmore (1996),Comedy,3.526392961876833
103,105,"Bridges of Madison County, The (1995)",Drama|Romance,3.2325581395348837
104,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,3.5833333333333335
105,107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,3.1484375
106,108,Catwalk (1995),Documentary,2.857142857142857
108,110,Braveheart (1995),Action|Drama|War,4.234957020057307
109,111,Taxi Driver (1976),Drama|Thriller,4.183870967741935
110,112,Rumble in the Bronx (1995),Action|Adventure|Crime,3.443859649122807
111,113,Before and After (1996),Drama|Mystery,2.981132075471698
112,114,Margaret's Museum (1995),Drama,3.090909090909091
114,116,Anne Frank Remembered (1995),Documentary,4.097560975609756
115,117,"Young Poisoner's Handbook, The (1995)",Crime,3.632911392405063
116,118,If Lucy Fell (1996),Comedy|Romance,3.073529411764706
117,119,"Steal Big, Steal Little (1995)",Comedy,2.4615384615384617
118,120,Race the Sun (1996),Drama,2.6666666666666665
119,121,"Boys of St. Vincent, The (1993)",Drama,4.054054054054054
120,122,Boomerang (1992),Comedy|Romance,2.768041237113402
121,123,Chungking Express (1994),Drama|Mystery|Romance,3.869565217391304
122,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3.2142857142857144
123,125,Flirting With Disaster (1996),Comedy,3.8333333333333335
124,126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,1.9898989898989898
125,127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,1.0
126,128,Jupiter's Wife (1994),Documentary,4.333333333333333
127,129,Pie in the Sky (1995),Comedy|Romance,3.3076923076923075
128,130,Angela (1995),Drama,4.0
129,131,Frankie Starlight (1995),Drama|Romance,3.0625
130,132,Jade (1995),Thriller,2.4945054945054945
131,133,Nueba Yol (1995),Comedy|Drama,1.0
132,134,Sonic Outlaws (1995),Documentary,4.0
133,135,Down Periscope (1996),Comedy,2.81203007518797
134,136,From the Journals of Jean Seberg (1995),Documentary,3.25
135,137,Man of the Year (1995),Documentary,3.0
136,138,"Neon Bible, The (1995)",Drama,2.5
137,139,Target (1995),Action|Drama,4.0
138,140,Up Close and Personal (1996),Drama|Romance,3.1654676258992804
139,141,"Birdcage, The (1996)",Comedy,3.5498533724340176
140,142,Shadows (Cienie) (1988),Drama,1.0
142,144,"Brothers McMullen, The (1995)",Comedy,3.392609699769053
143,145,Bad Boys (1995),Action,3.2955801104972378
144,146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,2.888888888888889
145,147,"Basketball Diaries, The (1995)",Drama,3.541436464088398
146,148,"Awfully Big Adventure, An (1995)",Drama,2.782608695652174
147,149,Amateur (1994),Crime|Drama|Thriller,3.7872340425531914
148,150,Apollo 13 (1995),Drama,4.073541167066347
149,151,Rob Roy (1995),Drama|Romance|War,3.588447653429603
150,152,"Addiction, The (1995)",Horror,3.0
151,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,2.642213642213642
152,154,Belle de jour (1967),Drama,3.7261904761904763
153,155,Beyond Rangoon (1995),Drama|War,3.413793103448276
154,156,Blue in the Face (1995),Comedy,3.5606060606060606
155,157,Canadian Bacon (1994),Comedy|War,2.732620320855615
156,158,Casper (1995),Adventure|Children's,2.9806949806949805
157,159,Clockers (1995),Drama,3.2844827586206895
158,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.2389380530973453
159,161,Crimson Tide (1995),Drama|Thriller|War,3.723684210526316
160,162,Crumb (1994),Documentary,4.063136456211812
161,163,Desperado (1995),Action|Romance|Thriller,3.4574074074074073
162,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,3.5672823218997363
163,165,Die Hard: With a Vengeance (1995),Action|Thriller,3.561212121212121
164,166,"Doom Generation, The (1995)",Comedy|Drama,2.459016393442623
165,167,Feast of July (1995),Drama,3.6
166,168,First Knight (1995),Action|Adventure|Drama|Romance,2.9502762430939224
167,169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,2.017699115044248
168,170,Hackers (1995),Action|Crime|Thriller,3.146417445482866
169,171,Jeffrey (1995),Comedy,3.5698924731182795
170,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,2.576419213973799
171,173,Judge Dredd (1995),Action|Adventure|Sci-Fi,2.3085106382978724
172,174,Jury Duty (1995),Comedy,2.308641975308642
173,175,Kids (1995),Drama,3.477272727272727
174,176,Living in Oblivion (1995),Comedy,3.9170731707317072
175,177,Lord of Illusions (1995),Horror,2.7338129496402876
176,178,Love & Human Remains (1993),Comedy,3.473684210526316
177,179,Mad Love (1995),Drama|Romance,2.2083333333333335
178,180,Mallrats (1995),Comedy,3.5476718403547673
179,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,1.6129032258064515
180,182,Moonlight and Valentino (1995),Drama|Romance,3.142857142857143
181,183,Mute Witness (1994),Thriller,3.4827586206896552
182,184,Nadja (1994),Drama,3.3461538461538463
183,185,"Net, The (1995)",Sci-Fi|Thriller,2.869947275922671
184,186,Nine Months (1995),Comedy,2.7630331753554502
185,187,Party Girl (1995),Comedy,3.238095238095238
186,188,"Prophecy, The (1995)",Horror,3.221052631578947
187,189,Reckless (1995),Comedy,3.4
188,190,Safe (1995),Thriller,3.75
189,191,"Scarlet Letter, The (1995)",Drama,2.466666666666667
190,192,"Show, The (1995)",Documentary,3.0
191,193,Showgirls (1995),Drama,2.0506912442396312
192,194,Smoke (1995),Drama,3.755868544600939
193,195,Something to Talk About (1995),Comedy|Drama|Romance,2.841463414634146
194,196,Species (1995),Horror|Sci-Fi,2.8236363636363637
195,197,"Stars Fell on Henrietta, The (1995)",Drama,3.0588235294117645
196,198,Strange Days (1995),Action|Crime|Sci-Fi,3.2958677685950413
197,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,3.8119658119658117
198,200,"Tie That Binds, The (1995)",Thriller,2.4166666666666665
199,201,Three Wishes (1995),Drama,2.6363636363636362
200,202,Total Eclipse (1995),Drama|Romance,2.5
201,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,3.0541871921182264
202,204,Under Siege 2: Dark Territory (1995),Action,2.9211822660098523
203,205,Unstrung Heroes (1995),Comedy|Drama,3.611764705882353
